STATE,OBAMA,MCCAIN,THIRDPARTY,EV,MARGIN,TURNOUT
AL,0.3874,0.6032,0.0094,9,-0.2158,0.61
AK,0.3789,0.5942,0.0269,3,-0.2153,0.683
AZ,0.4512,0.5339,0.0149,10,-0.0827,0.574
AR,0.3886,0.5872,0.0242,6,-0.1986,0.529
CA,0.6101,0.3695,0.0204,55,0.2406,0.617
CO,0.5366,0.4471,0.0163,9,0.0895,0.716
CT,0.6059,0.3822,0.0119,7,0.2237,0.664
DE,0.6194,0.3695,0.0111,3,0.2499,0.627
DC,0.9246,0.0653,0.0101,3,0.8593,0.619
FL,0.5103,0.4733,0.0164,27,0.0370,0.635
GA,0.4704,0.5220,0.0076,15,-0.0516,0.594
HI,0.7185,0.2658,0.0157,4,0.4527,0.506
ID,0.3609,0.6121,0.0270,4,-0.2512,0.611
IL,0.6192,0.3678,0.0130,21,0.2514,0.642
IN,0.4995,0.4891,0.0114,11,0.0104,0.594
IA,0.5393,0.4439,0.0168,7,0.0954,0.697
KS,0.4165,0.5648,0.0187,6,-0.1483,0.566
KY,0.4117,0.5740,0.0143,8,-0.1623,0.577
LA,0.3993,0.5856,0.0151,9,-0.1863,0.617
ME,0.5771,0.4038,0.0191,4,0.1733,0.727
MD,0.6192,0.3647,0.0161,10,0.2545,0.666
MA,0.6180,0.3599,0.0221,12,0.2581,0.666
MI,0.5733,0.4089,0.0178,17,0.1644,0.667
MN,0.5406,0.4382,0.0212,10,0.1024,0.781
MS,0.4300,0.5626,0.0074,6,-0.1326,0.611
MO,0.4923,0.4936,0.0141,11,-0.0013,0.623
MT,0.4725,0.4949,0.0326,3,-0.0224,0.634
NE,0.4160,0.5653,0.0187,5,-0.1493,0.637
NV,0.5515,0.4265,0.0220,5,0.1250,0.616
NH,0.5413,0.4452,0.0135,4,0.0961,0.711
NJ,0.5727,0.4161,0.0112,15,0.1566,0.626
NM,0.5691,0.4178,0.0131,5,0.1513,0.626
NY,0.6288,0.3603,0.0109,31,0.2685,0.596
NC,0.4970,0.4938,0.0092,15,0.0032,0.696
ND,0.4462,0.5325,0.0213,3,-0.0863,0.621
OH,0.5150,0.4691,0.0159,20,0.0459,0.675
OK,0.3435,0.6565,0.0000,7,-0.3130,0.578
OR,0.5675,0.4040,0.0285,7,0.1635,0.663
PA,0.5447,0.4415,0.0138,21,0.1032,0.621
RI,0.6286,0.3506,0.0208,4,0.2780,0.60
SC,0.4490,0.5387,0.0123,8,-0.0897,0.586
SD,0.4475,0.5316,0.0209,3,-0.0841,0.615
TN,0.4179,0.5689,0.0132,11,-0.1510,0.566
TX,0.4368,0.5545,0.0087,34,-0.1177,0.541
UT,0.3441,0.6224,0.0335,5,-0.2783,0.537
VT,0.6746,0.3045,0.0209,3,0.3701,0.626
VA,0.5263,0.4633,0.0104,13,0.0630,0.744
WA,0.5765,0.4049,0.0186,11,0.1716,0.657
WV,0.4261,0.5560,0.0179,5,-0.1299,0.553
WI,0.5622,0.4231,0.0147,10,0.1391,0.692
WY,0.3254,0.6478,0.0268,3,-0.3224,0.594
